code,name,description,refreshed_at,from_date,to_date
01NFI,"Stock Prices for 01NFI, ISIN PLNFI0100011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 01NFI<br><br>ISIN: PLNFI0100011<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2009-02-06
04PRO,"Stock Prices for 04PRO, ISIN PLNFI0400015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 04PRO<br><br>ISIN: PLNFI0400015<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2007-12-06
05VICT,"Stock Prices for 05VICT, ISIN PLNFI0500012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 05VICT<br><br>ISIN: PLNFI0500012<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2007-12-06
06MAGNA,"Stock Prices for 06MAGNA, ISIN PLNFI0600010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 06MAGNA<br><br>ISIN: PLNFI0600010<br><br>Currency: PLN,2020-04-24 18:30:34,1997-06-12,2020-04-24
08OCTAVA,"Stock Prices for 08OCTAVA, ISIN PLNFI0800016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 08OCTAVA<br><br>ISIN: PLNFI0800016<br><br>Currency: PLN,2020-04-24 18:30:34,1997-06-12,2020-04-24
10FOKSAL,"Stock Prices for 10FOKSAL, ISIN PLNFI1000012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 10FOKSAL<br><br>ISIN: PLNFI1000012<br><br>Currency: PLN,2016-09-12 18:37:06,2001-01-02,2007-12-06
11BIT,"Stock Prices for 11BIT, ISIN PL11BTS00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 11BIT<br><br>ISIN: PL11BTS00015<br><br>Currency: PLN,2020-04-24 18:30:34,2015-12-18,2020-04-24
11_NFI,"Stock Prices for 11 NFI, ISIN PLNFI1100010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 11 NFI<br><br>ISIN: PLNFI1100010<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2000-04-18
13FORTUNA,"Stock Prices for 13FORTUNA, ISIN PLNFI1300016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 13FORTUNA<br><br>ISIN: PLNFI1300016<br><br>Currency: PLN,2016-09-12 19:32:30,1997-06-12,2009-02-06
14ZACH,"Stock Prices for 14ZACH, ISIN PLNFI1400014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 14ZACH<br><br>ISIN: PLNFI1400014<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2010-01-14
4FUNMEDIA,"Stock Prices for 4FUNMEDIA, ISIN PL4FNMD00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 4FUNMEDIA<br><br>ISIN: PL4FNMD00013<br><br>Currency: PLN,2020-04-24 18:30:34,2010-12-20,2020-04-24
4MEDIA,"Stock Prices for 4MEDIA, ISIN PLCHSKR00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 4MEDIA<br><br>ISIN: PLCHSKR00012<br><br>Currency: PLN,2016-09-12 19:32:30,1996-06-19,2003-03-28
AATHOLD,"Stock Prices for AATHOLD, ISIN PLAATHL00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AATHOLD<br><br>ISIN: PLAATHL00018<br><br>Currency: PLN,2018-08-06 18:30:15,2015-10-05,2018-08-06
ABADONRE,"Stock Prices for ABADONRE, ISIN PLVARNT00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABADONRE<br><br>ISIN: PLVARNT00019<br><br>Currency: PLN,2019-03-25 18:30:16,2016-06-24,2019-03-25
ABCDATA,"Stock Prices for ABCDATA, ISIN PLABCDT00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABCDATA<br><br>ISIN: PLABCDT00014<br><br>Currency: PLN,2019-12-05 18:30:57,2010-07-09,2019-12-05
ABG,"Stock Prices for ABG, ISIN PLSTRPR00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABG<br><br>ISIN: PLSTRPR00014<br><br>Currency: PLN,2016-09-12 18:58:25,1999-12-02,2008-10-15
ABMSOLID,"Stock Prices for ABMSOLID, ISIN PLABMSD00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABMSOLID<br><br>ISIN: PLABMSD00015<br><br>Currency: PLN,2019-07-26 18:30:25,2007-08-28,2019-07-26
ABPL,"Stock Prices for ABPL, ISIN PLAB00000019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABPL<br><br>ISIN: PLAB00000019<br><br>Currency: PLN,2020-04-24 18:30:34,2006-09-21,2020-04-24
ACAUTOGAZ,"Stock Prices for ACAUTOGAZ, ISIN PLACSA000014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ACAUTOGAZ<br><br>ISIN: PLACSA000014<br><br>Currency: PLN,2020-04-24 18:30:34,2011-08-11,2020-04-24
ACE,"Stock Prices for ACE, ISIN LU0299378421, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ACE<br><br>ISIN: LU0299378421<br><br>Currency: PLN,2016-09-12 16:29:09,2007-06-01,2016-02-09
ACTION,"Stock Prices for ACTION, ISIN PLACTIN00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ACTION<br><br>ISIN: PLACTIN00018<br><br>Currency: PLN,2020-04-24 18:30:34,2006-08-16,2020-04-24
ADIUVO,"Stock Prices for ADIUVO, ISIN PLADVIV00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ADIUVO<br><br>ISIN: PLADVIV00015<br><br>Currency: PLN,2020-04-24 18:30:34,2015-10-12,2020-04-24
ADVADIS,"Stock Prices for ADVADIS, ISIN PLMBRST00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ADVADIS<br><br>ISIN: PLMBRST00015<br><br>Currency: PLN,2016-09-12 19:15:52,1997-11-17,2015-11-13
ADVGRUPA,"Stock Prices for ADVGRUPA, ISIN PLADVPL00029, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ADVGRUPA<br><br>ISIN: PLADVPL00029<br><br>Currency: PLN,2016-09-12 15:02:15,2011-04-13,2013-03-05
AGORA,"Stock Prices for AGORA, ISIN PLAGORA00067, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGORA<br><br>ISIN: PLAGORA00067<br><br>Currency: PLN,2020-04-24 18:30:34,1999-04-19,2020-04-24
AGROS,"Stock Prices for AGROS, ISIN PLAGROS00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGROS<br><br>ISIN: PLAGROS00010<br><br>Currency: PLN,2016-09-12 19:49:00,1994-10-25,2003-09-03
AGROTON,"Stock Prices for AGROTON, ISIN CY0101062111, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGROTON<br><br>ISIN: CY0101062111<br><br>Currency: PLN,2020-04-24 18:30:34,2010-11-08,2020-04-24
AGROWILL,"Stock Prices for AGROWILL, ISIN LT0000127466, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGROWILL<br><br>ISIN: LT0000127466<br><br>Currency: PLN,2017-11-02 18:30:27,2011-07-08,2017-11-02
